NIR_iPPG,SPG
-0.0007198340381340113,-0.001063738727669873
-0.0007485908249317979,-0.0009215418367287493
-0.0007568121743853778,-0.0007646149879934397
-0.0007455909126047776,-0.0005984591464429306
-0.0007168502056430102,-0.00042898045210723536
-0.0006732289162165101,-0.00026234078637931416
-0.0006179410737275273,-0.00010479158683557579
-0.0005546141174092743,3.7507480103566297e-05
-0.0004871110844943285,0.00015868180586794904
-0.00041934279214871897,0.00025334152070914835
-0.0003550770399827071,0.00031677945137578104
-0.00029775270693889043,0.00034515734809614687
-0.0002503071956477504,0.00033566972806659863
-0.0002150258852401892,0.0002866753881148929
-0.00019342196093673664,0.00019778846071922176
-0.00018615404512465174,6.992349310794513e-05
-0.00019298734833845597,-9.47079049457688e-05
-0.00021280159129972705,-0.0002926481329903909
-0.00024364587905824936,-0.0005192888542646695
-0.0002828373659089156,-0.0007690048491155156
-0.00032709740876107744,-0.0010353198731138603
-0.00037271645307806025,-0.0013110978573891946
-0.00041573745401306034,-0.0015887531912349992
-0.0004521472795916498,-0.001860474072005422
-0.00047806613183874454,-0.0021184526066208263
-0.0004899263111125042,-0.00235511458887617
-0.0004846333699712951,-0.002563341098786933
-0.0004597045446251146,-0.0027366737598074177
-0.0004133809386235889,-0.0028694959206534195
-0.00034471095585205124,-0.00295718318361195
-0.0002536029485901126,-0.002996218365718849
-0.00014084538892569402,-0.002984267927793191
-8.093664799931893e-06,-0.0029202190369175944
0.00014217587911334942,-0.0028041786654844567
0.0003067420215109546,-0.0026374381862861577
0.00048174024527065977,-0.00242240831731996
0.000662783683292675,-0.002162529707116112
0.0008450964379364825,-0.0018621640799478271
0.0010236521085013755,-0.0015264700862081325
0.0011933108705395525,-0.0011612671514139507
0.0013489496511913212,-0.0007728898232012913
0.001485581742592367,-0.0003680344543322519
0.0015984642870788925,4.6400308936410636e-05
0.0016831939796407918,0.00046347758275054564
0.0017357926323371153,0.0008763882563934465
0.0017527847861962165,0.001278614760484174
0.001731269531233582,0.001664086640116527
0.0016689883874400385,0.002027320806109504
0.0015643905854386478,0.002363539244966808
0.0014166962455143314,0.0026687580357343823
0.0012259567219413442,0.0029398435288285557
0.000993109891774427,0.003174534109542948
0.0007200266960855971,0.0033714286154223772
0.0004095440459066888,0.003529944719825183
6.547843600885398e-05,0.0036502521003956723
-0.00030738565545922495,0.0037331858435670348
-0.0007033381459550628,0.0037801453041197666
-0.001115820892432629,0.0037929827256826905
-0.0015375426638472571,0.003773884790555179
-0.0019606309177405685,0.0037252495477193923
-0.002376816602547088,0.0036495613589084515
-0.002777645356258947,0.0035492676587534585
-0.0031547063008506467,0.0034266630364897417
-0.00349986828244389,0.0032837877240739968
-0.0038055129091543963,0.003122348345553733
-0.004064754109345107,0.00294366836374722
-0.004271635147637598,0.0027486740289063135
-0.004421295933141238,0.00253791894060423
-0.004510105706933013,0.0023116467305789264
-0.004535758395476049,0.002069887136927015
-0.004497329735441252,0.0018125765333578377
-0.004395296596889233,0.0015396907797655464
-0.0042315198344084915,0.001251376890025115
-0.004009192601835782,0.0009480707248406814
-0.0037327564106124445,0.0006305903755552503
-0.003407787268131142,0.00030019841427507367
-0.0030408540546457766,-4.1369991093365854e-05
-0.002639351097898967,-0.0003919124953602253
-0.0022113069862664102,-0.0007487948580600641
-0.0017651722940893446,-0.0011090101662441557
-0.0013095902095524143,-0.0014692549796072264
-0.0008531559583536113,-0.0018260156077069154
-0.00040417304647014183,-0.0021756589763019417
2.9583801925484108e-05,-0.002514524133185296
0.0004410879996592806,-0.002839011773490342
0.0008242515687933292,-0.0031456699454602065
0.0011740764664823842,-0.003431274331556853
0.0014867585098135199,-0.0036929013673783644
0.00175973865213769,-0.003927992223277298
0.001991700074604641,-0.004134405551151867
0.002182513465416768,-0.00431045701804188
0.0023331363464142428,-0.004454944095643832
0.002445474831321833,-0.0045671554165331
0.002522217519977165,-0.004646865177605074
0.002566651512412131,-0.0046943142865516
0.0025824701866514065,-0.004710180831356717
0.0025735817890818456,-0.004695542748307431
0.002543927168533978,-0.004651835221745237
0.002497314109585892,-0.004580804506539303
0.002437274621490656,-0.004484458804660271
0.0023669501969617998,-0.004365015893862695
0.0022890085094091233,-0.004224846681443526
0.0022055933296083762,-0.004066413862738304
0.0021183076380171845,-0.0038922053372109247
0.0020282279844333344,-0.0037046627791448234
0.0019359461935426216,-0.0035061065548141327
0.0018416328157112684,-0.0032986588579041066
0.0017451156474984862,-0.0030841674439066177
0.0016459664153194776,-0.0028641327562045466
0.0015435892739276585,-0.0026396416771559466
0.0014373058735113952,-0.0024113116608682752
0.0013264331213651292,-0.002179249550843313
0.001210351208136968,-0.0019430298229511241
0.0010885608594791815,-0.0017016971604721129
0.0009607299840041642,-0.0014537979920132506
0.0008267307319848509,-0.001197444768173486
0.0006866682571220507,-0.0009304152824813167
0.0005409021181381974,-0.0006502873168061985
0.0003900604661177027,-0.00035460641098949584
0.0002350463671353088,-4.1081775776075576e-05
7.70352214977413e-05,0.00029219747637145623
-8.253761558156547e-05,0.000646536297988167
-0.00024199942623169378,0.0010224107943664776
-0.00039947280612836426,0.0014192633196489517
-0.0005529178361500666,0.001835331654595151
-0.0007001828216769064,0.0022675283237160674
-0.0008390624920606915,0.002711384562637477
-0.0009673625943633617,0.003161070214943246
-0.0010829700780977264,0.0036094959655988417
-0.0011839283891945966,0.004048498168583471
-0.0012685174383762427,0.004469099895188157
-0.0013353372381407005,0.004861835764235064
-0.0013833929028801337,0.005217123491012561
-0.0014121768947188867,0.00552566232238081
-0.0014217424895559502,0.005778837574364462
-0.0014127608764994888,0.005969111018423026
-0.0013865534769082729,0.006090378414498461
-0.0013450912892796468,0.0061382776534897494
-0.0012909545680723751,0.006110433457272543
-0.001227249023276717,0.0060066271425102645
-0.0011574787741397512,0.005828882352257086
-0.001085380901073042,0.005581459883374897
-0.0010147307973697264,0.0052707571940284505
-0.000949130922529883,0.004905111460885963
-0.0008917975616793226,0.0044945094529774895
-0.0008453605716607398,0.00405021278730568
-0.000811689850618516,0.003584312881964538
-0.0007917597741682061,0.0031092356721914975
-0.0007855597441836366,0.0026372214006726126
-0.0007920559232882097,0.0021798088659255987
-0.0008092066001074794,0.0017473556034554244
-0.0008340315939241415,0.001348624796495314
-0.000862734453674107,0.0009904657417331886
-0.0008908744323338693,0.0006776075032775704
-0.0009135828797438184,0.0004125758795483373
-0.0009258157989702784,0.0001957335011914963
-0.0009226313131857056,2.543331123254953e-05
-0.0008994782401331034,-0.00010173205416684453
-0.000852480214035404,-0.00019060779625567267
-0.0007786989605761498,-0.00024710698260797337
-0.0006763604263755777,-0.0002778190410089133
-0.0005450284787381192,-0.0002896210749562769
-0.0003857128870095757,-0.00028931334674480266
-0.00020090134306942695,-0.00028329652782745524
5.490735495870232e-06,-0.00027730439419005394
0.00022825427153161124,-0.0002762017646646743
0.000461101221281889,-0.0002838534254356447
0.0006969516286281861,-0.00030306520506914487
0.0009282797199087351,-0.00033559329413268806
0.0011475009219117593,-0.00038221293915319195
0.0013473777265622464,-0.0004428336309260824
0.0015214198987169997,-0.0005166455132025005
0.0016642541332703054,-0.0006022812064967907
0.00177193998482444,-0.0006979784253945535
